FUNDOS,SETOR,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,ÚLTIMO DIVIDENDO,DIVIDEND YIELD,DY (3M) ACUMULADO,DY (6M) ACUMULADO,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (6M) MÉDIA,DY (12M) MÉDIA,DY ANO,VARIAÇÃO PREÇO,RENTAB. PERÍODO,RENTAB. ACUMULADA,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,RENTAB. PATR. PERÍODO,RENTAB. PATR. ACUMULADA,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
AAZQ11,INDEFINIDO,"9,01","1.148.695,48","0,93","0,12","1,32 %","3,95 %","7,79 %","16,05 %","1,32 %","1,30 %","1,46 %","16,05 %","0,00 %","1,32 %","9,13 %","232.015.130,66","9,65","0,93","1,24 %","0,00 %","0,00 %","0,00 %",0,"14,73",21.961,N/A,N/A,N/A
ABCP11,SHOPPINGS,"71,50","74.770,00","0,76","0,65","0,93 %","2,66 %","4,95 %","9,39 %","0,89 %","0,83 %","0,78 %","9,39 %","0,52 %","1,45 %","3,59 %","432.677.384,28","91,88","0,78","0,65 %","0,07 %","0,72 %","7,89 %",1,"15,29",17.274,N/A,N/A,N/A
AFHI11,PAPÉIS,"99,82","846.449,95","1,04","1,00","1,03 %","3,16 %","6,41 %","13,13 %","1,05 %","1,07 %","1,09 %","12,10 %","0,81 %","1,85 %","13,37 %","322.360.025,56","96,43","1,04","1,04 %","1,54 %","2,59 %","9,02 %",0,"8,36",26.665,N/A,N/A,N/A
AGRX11,OUTROS,"11,02","456.203,52",N/A,"0,15","1,37 %","4,16 %","8,02 %","16,98 %","1,39 %","1,34 %","1,42 %","16,00 %","1,76 %","3,16 %","25,45 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"15,23",0,N/A,N/A,N/A
AIEC11,LAJES CORPORATIVAS,"56,08","878.158,38","0,59","1,33","2,33 %","3,72 %","7,31 %","14,41 %","1,24 %","1,22 %","1,20 %","14,68 %","0,00 %","0,00 %",N/A,"459.168.601,98","95,16","0,59","0,82 %","1,76 %","2,60 %","3,78 %",2,"16,90",16.416,N/A,N/A,N/A
ALMI11,LAJES CORPORATIVAS,"690,00","10.877,78","0,34","0,37","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"226.770.229,25","2.046,78","0,34","0,00 %","-0,05 %","-0,05 %","0,90 %",1,"30,86",2.260,N/A,N/A,N/A
ALZM11,FUNDO DE FUNDOS,"8,75","192.855,43","0,10","0,90","10,44 %","29,42 %","54,68 %","116,17 %","9,81 %","9,11 %","9,68 %","104,02 %","-0,58 %","9,80 %","169,44 %","132.710.343,15","87,42","0,10","1,03 %","-5,54 %","-4,57 %","-0,60 %",0,"19,86",5.416,N/A,N/A,N/A
ALZR11,MISTO,"119,96","1.623.580,81","1,11","0,83","0,70 %","2,13 %","4,25 %","8,55 %","0,71 %","0,71 %","0,71 %","7,86 %","2,35 %","3,07 %","11,27 %","1.054.548.638,60","106,95","1,12","0,77 %","0,06 %","0,83 %","8,89 %",13,"11,03",148.351,N/A,N/A,N/A
APTO11,IMÓVEIS RESIDENCIAIS,"9,83","35.507,33","0,95","0,09","0,92 %","2,77 %","5,80 %","12,88 %","0,92 %","0,97 %","1,07 %","12,88 %","0,62 %","1,54 %","26,18 %","41.413.353,35","10,32","0,95","0,87 %","3,61 %","4,52 %","19,34 %",4,"16,94",9.874,N/A,N/A,N/A
APXM11,SHOPPINGS,"101,99","1.222.116,00","1,07","0,60","0,58 %","1,46 %","1,85 %","1,85 %","0,49 %","0,62 %","0,62 %","1,85 %","0,00 %","0,58 %","-11,99 %","168.932.126,41",N/A,N/A,N/A,N/A,N/A,N/A,1,"62,97",321,N/A,N/A,N/A
ARCT11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"87,13","1.053.903,45","0,87","0,50","0,00 %","1,30 %","3,82 %","12,55 %","0,43 %","0,64 %","1,05 %","0,00 %","0,00 %","0,00 %",N/A,"371.534.654,03","99,77","0,87","0,76 %","0,04 %","0,80 %","6,31 %",9,"15,63",43.228,N/A,N/A,N/A
AROA11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"2,30","73.455,40","3,38","0,01","0,42 %","0,42 %","0,42 %","0,42 %","0,14 %","0,07 %","0,05 %","0,42 %","0,00 %","0,00 %",N/A,"178.642.329,69",N/A,N/A,N/A,N/A,N/A,N/A,6,"544,08",52,N/A,N/A,N/A
ARRI11,PAPÉIS,"8,98","222.055,76","1,00","0,10","1,10 %","3,21 %","6,54 %","13,73 %","1,07 %","1,09 %","1,14 %","13,73 %","0,22 %","1,32 %","12,04 %","117.062.693,88","8,97","1,00","1,11 %","1,24 %","2,37 %","-88,75 %",0,"14,38",27.852,N/A,N/A,N/A
ARXD11,PAPÉIS,"97,50","30.831,60","0,98","1,00","1,03 %","3,09 %","3,09 %","3,09 %","1,03 %","0,52 %","0,39 %","3,09 %","3,18 %","4,24 %","-0,93 %","64.727.873,05",N/A,N/A,N/A,N/A,N/A,N/A,0,"28,99",557,N/A,N/A,N/A
ASMT11,LAJES CORPORATIVAS,"56,92","12.240,86","0,67","0,77","1,11 %","3,18 %","6,17 %","11,50 %","1,06 %","1,03 %","0,96 %","1,11 %","-5,50 %","-4,46 %","-4,46 %","86.381.880,18",N/A,N/A,N/A,N/A,N/A,N/A,3,"47,74",509,N/A,N/A,N/A
ASRF11,INDEFINIDO,"10.092,00","30.276,00","1,00","256,33","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"24.325.324,36",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,56,N/A,N/A,N/A
ATSA11,SHOPPINGS,"54,90","1.445,00","0,67","0,05","0,00 %","0,13 %","0,19 %","0,99 %","0,04 %","0,03 %","0,08 %","0,07 %","0,00 %","0,00 %",N/A,"143.217.097,46","81,57","0,67","0,06 %","0,16 %","0,22 %","-8,99 %",1,"27,79",283,N/A,N/A,N/A
AURB11,IMÓVEIS COMERCIAIS - OUTROS,N/A,N/A,N/A,"0,20","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"73.000.363,24",N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,5,N/A,N/A,N/A
BARI11,PAPÉIS,"82,95","760.100,62","0,87","0,69","0,83 %","2,37 %","4,59 %","11,14 %","0,79 %","0,77 %","0,93 %","11,14 %","4,51 %","5,37 %","6,50 %","445.948.564,00","96,23","0,86","0,70 %","0,91 %","1,61 %","6,21 %",0,"15,46",37.979,N/A,N/A,N/A
BBFI11B,LAJES CORPORATIVAS,"1.186,09","313.917,24","0,55","7,43","0,61 %","2,06 %","4,13 %","11,33 %","0,69 %","0,69 %","0,94 %","11,33 %","9,74 %","10,41 %","-30,85 %","279.236.813,63","2.147,98","0,55","0,34 %","-0,86 %","-0,53 %","-18,93 %",2,"56,16",17.393,N/A,N/A,N/A
BBFO11,FUNDO DE FUNDOS,"73,40","606.576,95","0,91","0,64","0,88 %","2,64 %","5,21 %","11,60 %","0,88 %","0,87 %","0,97 %","11,60 %","2,70 %","3,61 %","22,45 %","323.354.286,66","80,76","0,91","0,79 %","-1,19 %","-0,40 %","4,34 %",0,"13,36",5.783,N/A,N/A,N/A
BBGO11,INDEFINIDO,"90,77","493.728,52","0,92","1,15","1,30 %","2,59 %","5,46 %","14,07 %","0,86 %","0,91 %","1,17 %","14,07 %","2,65 %","3,99 %","23,89 %","390.926.444,96","97,61","0,93","0,92 %","-0,33 %","0,59 %","8,74 %",0,"13,22",11.321,N/A,N/A,N/A
BBIM11,PAPÉIS,N/A,N/A,N/A,"0,65","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"13.666.742,03","13,20",N/A,"4,77 %","-56,06 %","-53,96 %","-67,78 %",0,N/A,20,N/A,N/A,N/A
BBPO11,AGÊNCIAS DE BANCOS,"96,75","1.815.419,70","0,98","0,91","0,93 %","2,87 %","5,63 %","11,72 %","0,96 %","0,94 %","0,98 %","11,72 %","3,70 %","4,66 %","28,59 %","1.576.857.849,29","99,05","0,98","0,92 %","-1,45 %","-0,55 %","16,43 %",63,"10,28",72.157,N/A,N/A,N/A
BBRC11,AGÊNCIAS DE BANCOS,"116,05","146.769,62","1,07","1,13","0,00 %","1,95 %","4,87 %","11,22 %","0,65 %","0,81 %","0,94 %","11,29 %","0,00 %","0,00 %",N/A,"170.528.455,71","107,25","1,08","1,05 %","-0,38 %","0,67 %","12,13 %",20,"12,29",9.456,N/A,N/A,N/A
BCFF11,FUNDO DE FUNDOS,"9,15","3.341.444,90","0,96","0,07","0,77 %","2,34 %","4,60 %","9,75 %","0,78 %","0,77 %","0,81 %","8,90 %","2,59 %","3,38 %","20,53 %","1.983.948.928,88","9,85","0,93","0,71 %","-86,67 %","-86,58 %","-86,60 %",1,"17,81",301.309,N/A,N/A,N/A
BCIA11,FUNDO DE FUNDOS,"105,11","662.983,48","0,97","0,85","0,82 %","2,52 %","4,91 %","10,37 %","0,84 %","0,82 %","0,86 %","10,37 %","4,00 %","4,85 %","35,63 %","398.417.700,62","107,13","0,98","0,79 %","6,85 %","7,70 %","12,56 %",0,"13,30",20.209,N/A,N/A,N/A
BCRI11,PAPÉIS,"75,56","727.757,62","0,79","0,78","1,04 %","3,21 %","6,23 %","12,13 %","1,07 %","1,04 %","1,01 %","12,13 %","7,44 %","8,56 %","-11,61 %","600.421.846,53","95,95","0,79","0,78 %","-4,92 %","-4,17 %","3,00 %",0,"19,09",46.968,N/A,N/A,N/A
BDIF11,FUNDO DE DESENVOLVIMENTO,"92,82","2.293.869,10",N/A,"1,00","1,09 %","3,61 %","7,67 %","15,07 %","1,20 %","1,28 %","1,26 %","13,93 %","-2,40 %","-1,33 %","19,98 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"12,47",0,N/A,N/A,N/A
BDIV11,N/A,"121,44","714.806,71",N/A,"6,90","5,67 %","14,66 %","28,19 %","46,70 %","4,89 %","4,70 %","4,67 %","19,71 %","7,46 %","13,56 %","41,53 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"21,44",0,N/A,N/A,N/A
BICE11,FUNDO DE FUNDOS,"980,00","1.959,50","0,99","6,64","0,68 %","1,32 %","2,90 %","5,21 %","0,44 %","0,48 %","0,43 %","5,21 %","0,00 %","0,00 %",N/A,"89.502.695,85","991,06","0,99","0,63 %","-0,57 %","0,05 %","7,29 %",0,"47,06",110,N/A,N/A,N/A
BICR11,PAPÉIS,"73,97","3.620,76","1,71","22,00","0,00 %","1,40 %","39,47 %","42,87 %","0,47 %","6,58 %","3,57 %","42,87 %","0,00 %","0,00 %",N/A,"21.902.673,10","43,81","1,69","50,22 %","-55,89 %","-33,75 %","-27,33 %",0,"102,45",570,N/A,N/A,N/A
BIDB11,FUNDO DE DESENVOLVIMENTO,"88,37","294.549,38",N/A,"1,29","1,47 %","3,56 %","5,68 %","12,31 %","1,19 %","0,95 %","1,03 %","12,31 %","0,10 %","1,57 %","13,62 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"8,79",0,N/A,N/A,N/A
BIME11,INDEFINIDO,"7,44","83.484,00","0,85","0,08","1,09 %","3,25 %","6,34 %","13,18 %","1,08 %","1,06 %","1,10 %","12,27 %","-0,27 %","0,82 %","7,98 %","50.992.648,17","8,72","0,85","0,92 %","-3,43 %","-2,55 %","4,49 %",3,"14,42",8.696,N/A,N/A,N/A
BIPD11,INDEFINIDO,N/A,N/A,N/A,"10,38","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"73.614.760,94",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,112,N/A,N/A,N/A
BLCA11,INDEFINIDO,"129,98","13.326,41","0,90","12,60","9,70 %","10,52 %","10,97 %","12,01 %","3,51 %","1,83 %","1,00 %","11,64 %","1,67 %","11,54 %","11,54 %","222.709.878,91","139,19","0,93","0,34 %","-3,08 %","-2,76 %","37,49 %",1,"63,96",243,N/A,N/A,N/A
BLCP11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"91,00","103.127,50","0,81","0,56","0,63 %","1,24 %","2,39 %","4,92 %","0,41 %","0,40 %","0,41 %","3,64 %","0,00 %","0,00 %",N/A,"256.580.339,90","111,74","0,81","0,50 %","-0,02 %","0,49 %","15,81 %",2,"0,87",279,N/A,N/A,N/A
BLMC11,PAPÉIS,"86,00","135.393,57","0,88","0,67","0,81 %","2,51 %","5,45 %","12,16 %","0,84 %","0,91 %","1,01 %","11,13 %","-1,75 %","-0,96 %","17,71 %","38.574.992,97","96,56","0,89","0,70 %","0,47 %","1,17 %","4,46 %",0,"33,32",463,N/A,N/A,N/A
BLMG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"40,71","901.408,00","0,49","0,30","0,60 %","2,95 %","6,17 %","12,89 %","0,98 %","1,03 %","1,07 %","11,86 %","-10,65 %","-10,11 %","-27,87 %","320.924.521,43","84,22","0,48","0,36 %","-12,22 %","-11,90 %","-8,10 %",1,"23,51",13.774,N/A,N/A,N/A
BLMO11,LAJES CORPORATIVAS,"89,99","481.749,71","0,00","0,43","0,00 %","166,46 %","166,46 %","166,46 %","55,49 %","27,74 %","13,87 %","166,46 %","0,00 %","0,00 %",N/A,"126.619.532,86","33.347,26","0,00","0,32 %","12,64 %","13,01 %","28,71 %",1,"105,78",88,N/A,N/A,N/A
BLMR11,FUNDO DE FUNDOS,"6,71","535.137,52","0,89","0,05","0,79 %","2,38 %","4,82 %","10,89 %","0,79 %","0,80 %","0,91 %","8,92 %","-3,74 %","-2,98 %","5,50 %","194.292.702,53","7,53","0,89","0,70 %","-2,71 %","-2,03 %","0,75 %",0,"17,68",18.558,N/A,N/A,N/A
BLUR11,PAPÉIS,"84,10","730,73","1,08","0,52","0,58 %","2,46 %","4,51 %","6,65 %","0,82 %","0,75 %","0,55 %","5,62 %","-8,11 %","-7,58 %","-7,79 %","8.064.507,20",N/A,N/A,N/A,N/A,N/A,N/A,0,"56,54",135,N/A,N/A,N/A
BMLC11,LAJES CORPORATIVAS,"106,80","380.109,80","0,96","0,76","0,72 %","2,20 %","7,12 %","11,64 %","0,73 %","1,19 %","0,97 %","10,64 %","3,40 %","4,15 %","17,78 %","111.613.625,16","111,79","0,96","0,68 %","-1,48 %","-0,81 %","8,30 %",2,"19,61",1.326,N/A,N/A,N/A
BNFS11,AGÊNCIAS DE BANCOS,"121,26","174.112,33","1,32","1,26","1,03 %","3,27 %","6,89 %","14,19 %","1,09 %","1,15 %","1,18 %","14,19 %","-0,37 %","0,65 %","14,64 %","64.321.249,39","91,89","1,32","1,49 %","0,54 %","2,03 %","8,65 %",18,"11,21",5.119,N/A,N/A,N/A
BODB11,INDEFINIDO,"9,54","711.252,62",N/A,"0,10","1,04 %","2,66 %","6,11 %","11,57 %","0,89 %","1,02 %","0,96 %","15,09 %","3,78 %","4,86 %","19,04 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"9,20",0,N/A,N/A,N/A
BPFF11,FUNDO DE FUNDOS,"71,06","273.519,62","0,93","0,62","0,87 %","2,66 %","5,22 %","11,06 %","0,89 %","0,87 %","0,92 %","11,06 %","2,60 %","3,50 %","24,02 %","342.567.700,40","76,26","0,93","0,81 %","3,77 %","4,61 %","7,69 %",0,"13,11",17.859,N/A,N/A,N/A
BPLC11,MISTO,N/A,N/A,N/A,"14,42","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"322.705.257,87",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,114,N/A,N/A,N/A
BPML11,SHOPPINGS,"95,00","685.166,38","0,72","0,27","0,46 %","1,37 %","2,74 %","5,34 %","0,46 %","0,46 %","0,45 %","0,46 %","-5,91 %","-5,48 %","-5,48 %","574.377.364,32","124,12","0,77","0,22 %","-0,51 %","-0,29 %","0,65 %",4,"25,81",1.344,N/A,N/A,N/A
BPRP11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"108,99","12.524,00","0,99","0,90","0,00 %","0,00 %","0,87 %","2,69 %","0,00 %","0,15 %","0,22 %","2,69 %","0,00 %","0,00 %",N/A,"148.891.327,88",N/A,N/A,N/A,N/A,N/A,N/A,1,"100,24",170,N/A,N/A,N/A
BRCO11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"123,85","3.568.008,71","1,02","0,99","0,80 %","2,34 %","4,45 %","8,44 %","0,78 %","0,74 %","0,70 %","9,08 %","4,13 %","4,96 %","37,38 %","1.782.268.645,73","120,60","1,03","0,79 %","-0,72 %","0,06 %","8,89 %",10,"16,01",119.131,N/A,N/A,N/A
BRCR11,LAJES CORPORATIVAS,"59,69","2.616.681,67","0,59","0,41","0,68 %","2,13 %","4,09 %","8,93 %","0,71 %","0,68 %","0,74 %","8,15 %","9,39 %","10,13 %","7,62 %","2.661.585.318,90","100,61","0,59","0,41 %","0,55 %","0,96 %","-0,50 %",9,"20,40",149.874,N/A,N/A,N/A
BREV11,LAJES CORPORATIVAS,"105,00","271.522,64","0,89","0,58","0,55 %","1,68 %","3,67 %","10,82 %","0,56 %","0,61 %","0,90 %","9,28 %","0,32 %","0,87 %","15,36 %","113.864.559,59","117,73","0,89","0,49 %","-3,02 %","-2,55 %","15,17 %",13,"80,35",320,N/A,N/A,N/A
BRIM11,FUNDO DE DESENVOLVIMENTO,"1.014,00","30.099,00","0,95","20,14","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"132.848.453,32",N/A,N/A,N/A,N/A,N/A,N/A,1,"173,21",222,N/A,N/A,N/A
BRIP11,FUNDO DE DESENVOLVIMENTO,"1.000,00","1.500,00","0,88","13,93","0,00 %","0,00 %","9,60 %","9,60 %","0,00 %","1,92 %","1,92 %","9,60 %","0,00 %","0,00 %",N/A,"244.451.324,37",N/A,N/A,N/A,N/A,N/A,N/A,10,"117,03",253,N/A,N/A,N/A
BRLA11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"143,00","775,67","0,90","1,12","0,00 %","0,00 %","0,87 %","3,05 %","0,00 %","0,15 %","0,25 %","2,30 %","0,00 %","0,00 %",N/A,"553.038.556,54","158,26","0,90","0,71 %","0,17 %","0,88 %","-7,06 %",7,"103,46",277,N/A,N/A,N/A
BROF11,LAJES CORPORATIVAS,"57,99","2.343.594,62","0,58","0,56","0,98 %","2,70 %","5,29 %","7,10 %","0,90 %","0,88 %","1,01 %","7,10 %","-7,20 %","-6,29 %","0,13 %","1.245.222.668,88",N/A,N/A,N/A,N/A,N/A,N/A,2,"25,81",7.786,N/A,N/A,N/A
BRZP11,N/A,"90,00","587.585,57",N/A,"0,47","0,52 %","1,57 %","3,09 %","5,89 %","0,52 %","0,52 %","0,49 %","5,42 %","0,45 %","0,97 %","32,90 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"18,36",0,N/A,N/A,N/A
BTAG11,INDEFINIDO,"98,40","466.003,19",N/A,"1,25","1,28 %","3,93 %","8,21 %","16,74 %","1,31 %","1,37 %","1,40 %","15,35 %","2,06 %","3,36 %","21,63 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"15,14",0,N/A,N/A,N/A
BTAL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"79,39","1.037.855,52","0,76","0,64","0,86 %","2,54 %","4,88 %","10,22 %","0,85 %","0,81 %","0,85 %","9,35 %","-8,07 %","-7,28 %","-14,50 %","627.661.115,29","104,91","0,76","0,61 %","-0,14 %","0,47 %","8,92 %",9,"19,75",45.547,N/A,N/A,N/A
BTCI11,PAPÉIS,"9,99","2.171.121,71","0,98","0,10","1,01 %","3,01 %","6,17 %","13,20 %","1,00 %","1,03 %","1,10 %","12,02 %","-2,63 %","-1,64 %","21,25 %","1.017.444.034,55",N/A,N/A,N/A,N/A,N/A,N/A,0,"11,23",140.863,N/A,N/A,N/A
BTCR11,PAPÉIS,"88,00","652.774,65","0,92","0,90","0,98 %","2,90 %","6,61 %","13,52 %","0,97 %","1,10 %","1,13 %","11,55 %","-5,96 %","-5,04 %","11,14 %","458.252.683,73","95,27","0,92","0,94 %","0,64 %","1,59 %","4,62 %",0,"32,78",16.934,N/A,N/A,N/A
BTHI11,HOTÉIS,"45,00","39.746,10","1,05","0,41","0,91 %","2,81 %","109,59 %","117,20 %","0,94 %","18,27 %","9,77 %","114,34 %","3,40 %","4,34 %","-9,12 %","396.161.722,38",N/A,N/A,N/A,N/A,N/A,N/A,12,"76,97",684,N/A,N/A,N/A
BTLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"104,01","7.492.003,24","1,05","0,76","0,76 %","2,27 %","4,47 %","9,04 %","0,76 %","0,75 %","0,75 %","8,29 %","0,51 %","1,27 %","10,68 %","2.822.378.074,38","99,06","1,05","0,77 %","0,29 %","1,06 %","6,28 %",20,"10,01",260.030,N/A,N/A,N/A
BTRA11,INDEFINIDO,"60,97","427.065,86","0,48","0,56","0,95 %","2,71 %","4,92 %","11,23 %","0,90 %","0,82 %","0,94 %","10,19 %","-4,91 %","-4,01 %","-22,41 %","420.749.796,48","125,05","0,49","0,45 %","-9,84 %","-9,44 %","28,95 %",5,"23,72",21.146,N/A,N/A,N/A
BTSG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"139,00","20.975,71","1,01","0,90","0,00 %","0,66 %","0,66 %","2,39 %","0,22 %","0,11 %","0,20 %","2,39 %","0,00 %","0,00 %",N/A,"106.745.977,90","145,24","0,96","0,62 %","5,51 %","6,17 %","16,93 %",1,"52,73",65,N/A,N/A,N/A
BTSI11,MISTO,"97,50","98,67","0,81","0,74","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"285.189.826,67",N/A,N/A,N/A,N/A,N/A,N/A,2,"294,91",114,N/A,N/A,N/A
BTWR11,FUNDO DE DESENVOLVIMENTO,"109,40","109,00","0,98","0,84","0,00 %","0,55 %","0,55 %","0,55 %","0,18 %","0,09 %","0,05 %","0,55 %","0,00 %","0,00 %",N/A,"90.479.330,52","111,80","0,98","0,54 %","-0,19 %","0,35 %","8,43 %",1,"16,30",69,N/A,N/A,N/A
BZEL11,MISTO,N/A,N/A,N/A,"0,08",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"415.441.826,37",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,3,N/A,N/A,N/A
CACR11,PAPÉIS,"102,23","1.492.735,24","1,02","1,48","1,44 %","4,16 %","8,16 %","16,58 %","1,39 %","1,36 %","1,38 %","16,58 %","0,49 %","1,93 %","17,10 %","385.529.745,03","100,82","1,01","1,41 %","-2,62 %","-1,25 %","37,92 %",0,"9,14",18.870,N/A,N/A,N/A
CARE11,MISTO,"1,39","15.618,38","0,17","0,01","0,23 %","0,67 %","1,36 %","2,92 %","0,22 %","0,23 %","0,32 %","1,36 %","-2,63 %","-2,41 %","-7,39 %","296.539.897,49","1,60","0,87","0,10 %","-0,24 %","-0,14 %","3,56 %",1,"38,46",11.772,N/A,N/A,N/A
CBOP11,LAJES CORPORATIVAS,"30,11","15.373,05","0,41","0,12","0,38 %","1,15 %","2,23 %","4,06 %","0,38 %","0,37 %","0,34 %","4,06 %","2,04 %","2,43 %","-35,62 %","104.417.656,09","73,79","0,41","0,16 %","-0,04 %","0,12 %","-10,77 %",1,"22,49",3.178,N/A,N/A,N/A
CCME11,INDEFINIDO,"108,00","2.740,00","1,05","0,90","0,83 %","1,66 %","2,48 %","2,48 %","0,55 %","0,41 %","0,21 %","2,48 %","0,00 %","0,00 %",N/A,"564.054.670,30",N/A,N/A,N/A,N/A,N/A,N/A,2,"60,33",155,N/A,N/A,N/A
CCRF11,PAPÉIS,"92,50","1.276,82","1,02","3,50",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"143.038.794,42","97,87","0,95","0,65 %","1,98 %","2,64 %","5,45 %",0,"58,07",317,N/A,N/A,N/A
CDII11,INDEFINIDO,"106,29","1.068.973,81",N/A,"1,13","1,05 %","3,29 %","8,20 %","11,17 %","1,10 %","1,37 %","1,60 %","11,17 %","0,49 %","1,54 %","12,93 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"6,33",0,N/A,N/A,N/A
CEOC11,LAJES CORPORATIVAS,"46,64","48.726,10","0,60","0,43","0,96 %","2,82 %","5,67 %","12,73 %","0,94 %","0,95 %","1,06 %","11,62 %","-0,15 %","0,80 %","-5,63 %","142.454.279,14","78,46","0,59","0,55 %","-0,43 %","0,12 %","-8,69 %",1,"28,36",4.972,N/A,N/A,N/A
CFHI11,FUNDO DE DESENVOLVIMENTO,"610,00","5.307.000,00","0,98","3,65","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"58.899.912,81",N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,54,N/A,N/A,N/A
CJCT11,LAJES CORPORATIVAS,"69,01","47.473,00","1,06","0,49","0,70 %","1,04 %","1,39 %","25,52 %","0,35 %","0,23 %","2,13 %","21,60 %","1,55 %","2,26 %","-20,36 %","207.395.039,89","57,90","1,19","0,00 %","0,58 %","0,58 %","0,58 %",1,"28,07",1.085,N/A,N/A,N/A
CNES11,LAJES CORPORATIVAS,"22,65","7.726,00","0,25","0,08","0,33 %","1,01 %","1,86 %","4,05 %","0,34 %","0,31 %","0,34 %","3,50 %","-2,00 %","-1,68 %","-24,85 %","264.257.290,77","89,60","0,25","0,08 %","0,19 %","0,27 %","4,66 %",1,"35,48",1.675,N/A,N/A,N/A
COPP11,LAJES CORPORATIVAS,"103,00","1.827.632,00","0,98","0,75","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"174.473.389,23",N/A,N/A,N/A,N/A,N/A,N/A,3,"12,26",15,N/A,N/A,N/A
CORM11,LAJES CORPORATIVAS,N/A,N/A,N/A,"0,77","0,90 %","2,76 %","5,35 %","11,38 %","0,92 %","0,89 %","0,95 %","6,20 %","-2,97 %","-2,10 %","-4,27 %",N/A,"90,56",N/A,"0,89 %","-2,33 %","-1,45 %","0,21 %",0,N/A,0,N/A,N/A,N/A
CPFF11,FUNDO DE FUNDOS,"78,87","366.113,14","0,94","0,68","0,91 %","2,76 %","5,58 %","9,75 %","0,92 %","0,93 %","0,81 %","8,82 %","-0,17 %","0,74 %","26,81 %","210.295.587,26","82,37","0,96","0,83 %","6,59 %","7,47 %","13,43 %",0,"17,71",9.698,N/A,N/A,N/A
CPFO11,FUNDO DE FUNDOS,N/A,N/A,N/A,"31,42",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"90.509.108,49",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,528,N/A,N/A,N/A
CPSH11,INDEFINIDO,"109,54","2.688.078,43","0,97","1,00","0,92 %","2,52 %","5,35 %","5,35 %","0,84 %","1,07 %","1,07 %","5,35 %","0,50 %","1,42 %","-0,11 %","378.071.696,02",N/A,N/A,N/A,N/A,N/A,N/A,1,"18,16",390,N/A,N/A,N/A
